cellid,k,zone,a,Aquifer
3578,1,3,1,Alluvium
3579,1,3,1,Alluvium
3580,1,3,1,Alluvium
3581,1,3,1,Alluvium
3582,1,3,1,Alluvium
3583,1,3,1,Alluvium
3584,1,3,1,Alluvium
3585,1,3,1,Alluvium
3586,1,2,1,Weathered Zone
3587,1,2,1,Weathered Zone
3588,1,2,1,Weathered Zone
3589,1,2,1,Weathered Zone
3590,1,2,1,Weathered Zone
3591,1,2,1,Weathered Zone
3592,1,2,1,Weathered Zone
3593,1,2,1,Weathered Zone
3594,1,2,1,Weathered Zone
3595,1,2,1,Weathered Zone
3596,1,3,1,Alluvium
3597,1,3,1,Alluvium
3598,1,3,1,Alluvium
3599,1,3,1,Alluvium
3600,1,3,1,Alluvium
3601,1,3,1,Alluvium
3602,1,3,1,Alluvium
3603,1,3,1,Alluvium
3604,1,3,1,Alluvium
3605,1,3,1,Alluvium
3606,1,3,1,Alluvium
3607,1,3,1,Alluvium
3716,1,3,1,Alluvium
3717,1,3,1,Alluvium
3718,1,3,1,Alluvium
3719,1,3,1,Alluvium
3720,1,3,1,Alluvium
3721,1,3,1,Alluvium
3722,1,3,1,Alluvium
3723,1,3,1,Alluvium
3724,1,3,1,Alluvium
3725,1,3,1,Alluvium
3726,1,3,1,Alluvium
3727,1,3,1,Alluvium
3728,1,3,1,Alluvium
3729,1,3,1,Alluvium
3730,1,3,1,Alluvium
3731,1,3,1,Alluvium
3732,1,3,1,Alluvium
3733,1,3,1,Alluvium
3734,1,3,1,Alluvium
3735,1,3,1,Alluvium
3736,1,3,1,Alluvium
3737,1,3,1,Alluvium
3738,1,3,1,Alluvium
3739,1,3,1,Alluvium
3740,1,3,1,Alluvium
3741,1,3,1,Alluvium
3742,1,3,1,Alluvium
3743,1,3,1,Alluvium
3744,1,3,1,Alluvium
3745,1,3,1,Alluvium
3746,1,3,1,Alluvium
3747,1,2,1,Weathered Zone
3748,1,2,1,Weathered Zone
3749,1,2,1,Weathered Zone
3750,1,2,1,Weathered Zone
3751,1,2,1,Weathered Zone
3752,1,2,1,Weathered Zone
3753,1,2,1,Weathered Zone
3754,1,2,1,Weathered Zone
3755,1,2,1,Weathered Zone
3756,1,2,1,Weathered Zone
3757,1,2,1,Weathered Zone
3758,1,2,1,Weathered Zone
3759,1,2,1,Weathered Zone
3760,1,2,1,Weathered Zone
3761,1,2,1,Weathered Zone
3762,1,2,1,Weathered Zone
3763,1,2,1,Weathered Zone
3764,1,3,1,Alluvium
3765,1,3,1,Alluvium
3766,1,3,1,Alluvium
3767,1,3,1,Alluvium
3768,1,3,1,Alluvium
3769,1,3,1,Alluvium
3770,1,3,1,Alluvium
3771,1,3,1,Alluvium
3772,1,3,1,Alluvium
3773,1,3,1,Alluvium
3883,1,3,1,Alluvium
3884,1,3,1,Alluvium
3885,1,3,1,Alluvium
3886,1,3,1,Alluvium
3887,1,3,1,Alluvium
3888,1,3,1,Alluvium
3889,1,3,1,Alluvium
3890,1,3,1,Alluvium
3891,1,3,1,Alluvium
3892,1,3,1,Alluvium
3893,1,3,1,Alluvium
3894,1,3,1,Alluvium
3895,1,3,1,Alluvium
3896,1,3,1,Alluvium
3897,1,3,1,Alluvium
3898,1,3,1,Alluvium
3899,1,3,1,Alluvium
3900,1,3,1,Alluvium
3901,1,3,1,Alluvium
3902,1,3,1,Alluvium
3903,1,3,1,Alluvium
3904,1,3,1,Alluvium
3905,1,3,1,Alluvium
3906,1,3,1,Alluvium
3907,1,3,1,Alluvium
3908,1,3,1,Alluvium
3909,1,3,1,Alluvium
3910,1,2,1,Weathered Zone
